Institution_Name,Institution_Address,Institution_City,Institution_State
Community College of the Air Force,130 W Maxwell Blvd,Montgomery,AL
Alabama A & M University,4900 Meridian St,Normal,AL
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL
Amridge University,1200 Taylor Rd,Montgomery,AL
University of Alabama at Huntsville,301 Sparkman Dr,Huntsville,AL
Alabama State University,915 S Jackson Street,Montgomery,AL
The University of Alabama,739 University Boulevard,Tuscaloosa,AL
Central Alabama Community College,1675 Cherokee Road,Alexander City,AL
Athens State University,300 N Beaty St,Athens,AL
Auburn University-Montgomery,7440 East Drive P.O. Box 244023,Montgomery,AL
Auburn University Main Campus,2316 Walker Building,Auburn University,AL
Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL
Chattahoochee Valley Community College,2602 College Dr,Phenix City,AL
Concordia College Alabama,1804 Green Street,Selma,AL
DCH Regional Medical Center,"809 University Blvd., East",Tuscaloosa,AL
Enterprise State Community College,600 Plaza Drive,Enterprise,AL
James H. Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL
Faulkner University,5345 Atlanta Hwy,Montgomery,AL
Gadsden Business College,3225 Rainbow Drive Suite 246,Rainbow City,AL
Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL
George C Wallace Community College - Dothan,1141 Wallace Drive,Dothan,AL
Wallace State Community College  - Hanceville,801 Main St. P. O. Box 2000,Hanceville,AL
George Corley Wallace State Community College - Selma,3000 Earl Goodwin Parkway,Selma,AL
Huntingdon College,1500 East Fairview Avenue,Montgomery,AL
Huntsville Hospital,101 Sivley Road,Huntsville,AL
Heritage Christian University,"3625 Helton Dr, PO Box HCU",Florence,AL
J.F. Drake State Community and Technical College,3421 Meridian St North,Huntsville,AL
J F Ingram State Technical College,5375 Ingram Road,Deatsville,AL
Jacksonville State University,700 Pelham Road North,Jacksonville,AL
Jefferson Davis Community College,220 Alco Dr,Brewton,AL
Jefferson State Community College,2601 Carson Rd,Birmingham,AL
Calhoun Community College,6250 U S Highway 31 N,Tanner,AL
Judson College,302 Bibb St,Marion,AL
University of West Alabama,205 North Washington Street,Livingston,AL
Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL
Marion Military Institute,1101 Washington St,Marion,AL
Miles College,5500 Myron Massey Blvd,Fairfield,AL
University of Mobile,5735 College Parkway Drive,Mobile,AL
University of Montevallo,Station 6001,Montevallo,AL
Northwest-Shoals Community College - Muscle Shoals,800 George Wallace Blvd,Muscle Shoals,AL
University of North Alabama,One Harrison Plaza,Florence,AL
Northeast Alabama Community College,138 Alabama Highway 35,Rainsville,AL
Northwest-Shoals Community College - Phil Campbell,2080 College Road,Phil Campbell,AL
Oakwood University,7000 Adventist Blvd N.W.,Huntsville,AL
Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL
Prince Institute - Southeast,596 W. Lamont Road,Elmhurst,IL
Reid State Technical College,I-65 and Highway 83,Evergreen,AL
